Longitud,Latitud,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Media,Media Real,Diferencia
-179.250,-89.750,-27.700,-40.200,-53.600,-57.000,-57.200,-57.700,-59.100,-59.100,-59.000,-50.500,-38.100,-27.700,-44.000,-48.900,4.900
-178.750,71.250,-23.300,-25.900,-24.600,-17.900,-7.200,0.000,1.800,1.300,-1.800,-8.500,-16.100,-22.500,-11.900,-12.100,0.200
-178.750,68.250,-23.500,-25.300,-23.200,-17.200,-6.600,2.100,5.100,4.100,0.400,-7.400,-15.100,-22.300,-10.700,-10.700,0.000
-178.750,67.750,-23.100,-24.100,-21.700,-16.600,-7.000,1.900,5.200,4.400,0.700,-6.700,-14.200,-21.300,-10.200,-10.200,0.000
-178.750,67.250,-21.200,-21.400,-19.400,-14.400,-5.800,3.300,6.800,6.300,2.200,-4.800,-12.100,-19.000,-8.200,-8.300,0.100
-178.750,66.750,-22.400,-21.700,-20.800,-14.900,-7.300,1.400,5.400,5.200,0.400,-6.000,-13.400,-19.600,-9.400,-9.500,0.100
-178.750,66.250,-20.300,-19.300,-19.400,-12.500,-5.200,3.100,7.500,7.400,2.100,-4.400,-11.900,-17.500,-7.400,-7.500,0.100
-178.750,-84.750,-19.400,-27.800,-38.800,-43.600,-44.900,-44.800,-48.500,-48.800,-47.700,-38.900,-28.000,-19.400,-37.500,-37.600,0.100
-178.750,-85.250,-23.100,-32.100,-43.400,-47.900,-49.200,-49.000,-52.500,-52.700,-51.800,-43.100,-32.000,-23.200,-41.700,-41.700,0.000
-178.750,-85.750,-22.800,-32.400,-43.900,-48.200,-49.200,-49.200,-52.400,-52.600,-51.800,-43.100,-31.900,-22.800,-41.800,-41.700,-0.100
-178.750,-86.250,-25.100,-35.300,-47.300,-51.400,-52.100,-52.400,-54.900,-55.200,-54.600,-45.900,-34.400,-25.000,-44.600,-44.500,-0.100
-178.750,-86.750,-26.700,-37.600,-50.000,-53.800,-54.400,-54.800,-57.000,-57.200,-56.700,-48.200,-36.500,-26.700,-46.700,-46.600,-0.100
-178.750,-87.250,-27.800,-39.100,-51.800,-55.400,-55.800,-56.200,-58.300,-58.400,-58.100,-49.500,-37.700,-27.800,-48.100,-48.000,-0.100
-178.750,-87.750,-28.400,-40.100,-53.000,-56.500,-56.900,-57.400,-59.200,-59.300,-59.000,-50.500,-38.500,-28.400,-49.000,-48.900,-0.100
-178.750,-88.250,-29.100,-41.100,-54.300,-57.700,-58.100,-58.600,-60.200,-60.200,-60.000,-51.500,-39.300,-29.100,-52.000,-49.900,-2.100
-178.750,-88.750,-29.100,-41.300,-54.600,-58.000,-58.200,-58.800,-60.300,-60.300,-60.100,-51.600,-39.400,-29.000,-53.200,-50.100,-3.100
-178.750,-89.250,-28.500,-40.900,-54.200,-57.600,-57.900,-58.400,-59.800,-59.800,-59.700,-51.200,-38.900,-28.500,-49.700,-49.600,-0.100
-178.750,-89.750,-27.700,-40.200,-53.600,-57.000,-57.200,-57.700,-59.100,-59.100,-59.000,-50.500,-38.100,-27.700,-49.000,-48.900,-0.100
-178.250,71.250,-23.700,-26.200,-24.900,-18.100,-7.500,-0.200,1.600,1.100,-2.100,-9.000,-16.500,-22.800,-12.200,-12.400,0.200
-178.250,68.250,-24.200,-25.800,-23.400,-17.900,-7.300,1.400,4.400,3.400,0.000,-7.900,-15.500,-22.800,-11.200,-11.300,0.100
-178.250,67.750,-22.300,-23.300,-20.400,-16.000,-6.300,2.900,6.000,5.300,1.700,-5.700,-13.100,-20.600,-9.300,-9.300,0.000
-178.250,67.250,-22.300,-22.700,-19.800,-15.900,-7.100,2.200,5.600,5.000,1.300,-5.700,-12.800,-20.300,-9.300,-9.400,0.100
-178.250,66.750,-23.700,-23.200,-21.400,-16.700,-8.700,0.200,4.100,3.700,-0.500,-7.200,-14.400,-21.100,-10.700,-10.700,0.000
-178.250,66.250,-18.800,-18.200,-17.300,-11.500,-3.900,4.700,8.900,8.600,3.800,-2.800,-10.200,-16.200,-5.900,-6.100,0.200
-178.250,65.750,-18.100,-17.800,-17.300,-10.800,-3.200,4.900,9.300,9.100,3.900,-2.900,-10.300,-15.900,-5.700,-5.800,0.100
-178.250,-84.750,-19.900,-28.300,-39.300,-44.100,-45.400,-45.300,-49.000,-49.300,-48.200,-39.400,-28.500,-19.900,-38.100,-38.000,-0.100
-178.250,-85.250,-21.300,-30.300,-41.600,-46.100,-47.300,-47.200,-50.700,-50.900,-50.000,-41.300,-30.200,-21.400,-39.900,-39.900,0.000
-178.250,-85.750,-22.700,-32.200,-43.800,-48.100,-49.100,-49.100,-52.300,-52.400,-51.700,-43.000,-31.700,-22.600,-41.700,-41.600,-0.100
-178.250,-86.250,-25.100,-35.300,-47.200,-51.300,-52.000,-52.300,-54.900,-55.100,-54.500,-45.900,-34.500,-25.000,-44.500,-44.400,-0.100
-178.250,-86.750,-26.700,-37.600,-50.000,-53.800,-54.400,-54.600,-57.000,-57.100,-56.700,-48.100,-36.500,-26.600,-46.700,-46.600,-0.100
-178.250,-87.250,-27.700,-39.100,-51.700,-55.400,-55.800,-56.300,-58.300,-58.400,-58.000,-49.500,-37.700,-27.700,-48.000,-48.000,0.000
-178.250,-87.750,-28.400,-40.100,-53.000,-56.500,-56.900,-57.300,-59.200,-59.300,-59.000,-50.500,-38.500,-28.400,-49.000,-48.900,-0.100
-178.250,-88.250,-29.100,-41.100,-54.300,-57.700,-58.100,-58.600,-60.200,-60.200,-60.000,-51.500,-39.300,-29.100,-50.000,-49.900,-0.100
-178.250,-88.750,-29.100,-41.200,-54.600,-58.000,-58.200,-58.800,-60.200,-60.300,-60.100,-51.600,-39.400,-29.000,-50.200,-50.000,-0.200
-178.250,-89.250,-28.500,-40.900,-54.200,-57.600,-57.800,-58.400,-59.700,-59.800,-59.600,-51.200,-38.900,-28.500,-49.700,-49.600,-0.100
