Longitud,Latitud,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Media,Media Real,Diferencia
-179.75,71.25,-23.0º,-25.7º,-24.3º,-17.9º,-7.1º,-0.1º,1.8º,1.4º,-1.7º,-8.2º,-15.6º,-22.2º,-11.6º,-11.9º,0.3º
-179.75,68.75,-26.0º,-28.7º,-26.7º,-20.0º,-7.8º,0.1º,3.0º,1.7º,-1.9º,-10.4º,-18.2º,-25.5º,-13.3º,-13.4º,0.1º
-179.75,68.25,-25.9º,-27.6º,-25.9º,-19.3º,-8.6º,0.0º,2.9º,2.0º,-1.8º,-9.7º,-17.5º,-24.5º,-12.9º,-13.0º,0.1º
-179.75,67.75,-24.1º,-25.0º,-23.5º,-17.1º,-7.7º,1.2º,4.5º,3.8º,-0.2º,-7.6º,-15.3º,-22.2º,-11.0º,-11.1º,0.1º
-179.75,67.25,-24.8º,-24.8º,-24.0º,-17.4º,-9.1º,-0.4º,3.4º,3.0º,-1.6º,-8.4º,-16.0º,-22.4º,-11.7º,-11.9º,0.2º
-179.75,66.75,-21.0º,-20.1º,-20.3º,-13.0º,-5.8º,2.6º,6.7º,6.8º,1.4º,-5.0º,-12.4º,-18.2º,-8.1º,-8.2º,0.1º
-179.75,66.25,-19.2º,-17.9º,-19.1º,-11.0º,-4.2º,3.9º,8.2º,8.4º,2.5º,-3.5º,-11.0º,-16.2º,-6.5º,-6.6º,0.1º
-179.75,65.75,-17.9º,-17.5º,-18.0º,-10.2º,-2.8º,5.2º,9.7º,9.6º,3.9º,-2.8º,-10.5º,-15.9º,-5.6º,-5.6º,0.0º
-179.75,65.25,-17.5º,-18.2º,-17.9º,-10.8º,-2.3º,5.3º,10.1º,9.5º,4.1º,-3.5º,-11.2º,-16.6º,-5.6º,-5.8º,0.2º
-179.75,-16.75,27.0º,27.2º,27.0º,26.7º,26.1º,25.4º,24.8º,24.8º,25.0º,25.7º,26.2º,26.7º,20.0º,26.0º,-6.0º
-179.75,-84.75,-18.5º,-26.9º,-37.9º,-42.7º,-44.0º,-43.8º,-47.7º,-47.9º,-46.8º,-38.0º,-27.1º,-18.5º,-36.7º,-36.6º,-0.1º
-179.75,-85.25,-23.6º,-32.5º,-43.8º,-48.4º,-49.6º,-49.5º,-53.0º,-53.1º,-52.3º,-43.5º,-32.4º,-23.6º,-42.2º,-42.1º,-0.1º
-179.75,-85.75,-23.1º,-32.7º,-44.3º,-48.6º,-49.6º,-49.7º,-52.7º,-52.9º,-52.2º,-43.5º,-32.2º,-23.1º,-42.1º,-42.0º,-0.1º
-179.75,-86.25,-25.1º,-35.3º,-47.3º,-51.4º,-52.1º,-52.4º,-55.0º,-55.2º,-54.6º,-45.9º,-34.4º,-25.0º,-44.6º,-44.5º,-0.1º
-179.75,-86.75,-26.8º,-37.6º,-50.0º,-53.8º,-54.4º,-54.8º,-57.0º,-57.2º,-56.7º,-48.2º,-36.5º,-26.7º,-46.7º,-46.6º,-0.1º
-179.75,-87.25,-27.8º,-39.1º,-51.8º,-55.5º,-56.0º,-56.4º,-58.4º,-58.5º,-58.1º,-49.6º,-37.7º,-27.8º,-48.1º,-48.1º,0.0º
